session_id,question_number_in_session,question_index_in_dataset,mode,seed,start_index,question,model_answer,ground_truth_aliases,is_correct,elapsed_time_seconds,gpu_memory_used_mb,gpu_memory_total_mb,gpu_power_watts,energy_joules_estimate
20260610_133821,19,252,ordered,,234,"When the egg is released from the ovary, what is left behind?",The follicle,"[""Corpora lutea"", ""Lutein cyst"", ""Corpus luetum"", ""Corpus luteum"", ""Yellow body"", ""Corpus albicantia"", ""Corpora luteum"", ""Corpus luteum hormones"", ""Corpus leteum"", ""Granulosa lutein cell"", ""Corpus lutea"", ""Corpora albicantia"", ""Theca lutein cell"", ""Luteal cells"", ""Corpus luteum graviditatis"", ""Luteal cell"", ""Luteal"", ""Corpus Luteum"", ""Corpus luteum cell"", ""Yellow bodies""]",False,0.7252,6685.0,32607.0,180.4,130.8199
20260610_133821,20,253,ordered,,234,What is the scientific name for the heart's pacemaker?,Sinoatrial node,"[""Sinoatrial"", ""Sa node"", ""The sinoatrial node"", ""Sinuatrial mode"", ""SA Node"", ""Sinoastrial node"", ""Sinu-atrial node"", ""Sinus Node"", ""SA node"", ""Sinoatrial Node"", ""Nodus sinuatrialis"", ""Sinoatrial cell"", ""Sinuatrial node"", ""Sinus node"", ""Atrial sinus"", ""Sino-atrial node"", ""Sino atrial node"", ""Sinoatrial node""]",True,0.729,6685.0,32607.0,179.62,130.9387
20260610_133821,21,254,ordered,,234,Which hormone helps control ovulation?,FSH,"[""Receptors, lh"", ""LH surge"", ""Leutenizing hormone"", ""Ovulation prediction kit"", ""Luteinizing"", ""Pee stick"", ""Interstitial-cell stimulating hormone"", ""Lh kit"", ""ATCvet code QG03GA07"", ""Lutropin alfa"", ""Lutropin"", ""Lutenizing Hormone"", ""Luteinizing hormone"", ""Lh test"", ""Luteinising hormone"", ""Luveris"", ""Leutinizing hormone"", ""Interstitial cell stimulating hormone"", ""Lutenising Hormone"", ""Lutenizing hormone"", ""Ovulation predictor kit"", ""ATC code G03GA07"", ""Luteinizing Hormone"", ""Luteinising Hormone"", ""Interstitial Cell Stimulating Hormone""]",False,0.7206,6685.0,32607.0,179.65,129.4523
20260610_133821,22,255,ordered,,234,What is the second most common gas in the atmosphere?,Nitrogen,"[""Oxyjunn"", ""Oxygen rings"", ""Active oxygen"", ""Vital air"", ""ATC code V03AN01"", ""ATCvet code QV03AN01"", ""History of oxygen"", ""Atomic number 8"", ""Oxygyn"", ""Oxygen gas"", ""O₂"", ""Dioxygen molecule"", ""Diatomic oxide"", ""Diatomic Oxygen"", ""Oxygen ion"", ""Sauerstoff"", ""Oxygen"", ""Oxygen partial pressure"", ""Pure oxygen"", ""Oxygen atom"", ""Molecular oxygen"", ""Oxygen Atom"", ""Element 8"", ""O (element)"", ""0xygen"", ""Oxigen"", ""E948""]",False,0.7258,6685.0,32607.0,181.01,131.3733
20260610_133821,23,256,ordered,,234,What is the term for nutrient enrichment of lakes?,Eutrophication,"[""Eutrophication"", ""Hypertrophication"", ""Cultural eutrophication"", ""Nutrient loading"", ""Eutrofication"", ""Euthrophication""]",True,0.7274,6685.0,32607.0,179.94,130.895
20260610_133821,24,257,ordered,,234,Five-legged creatures have damaged which 1250 mile long wonder of the world?,The Great Wall of China,"[""Great Barrier Reef"", ""Great Barrier Reef World Heritage Area"", ""The Great Barrier Reef"", ""Douglas Shoal"", ""Great barrier reef"", ""Great Detached Reef"", ""Great barrier reef history""]",False,0.7278,6687.0,32607.0,180.63,131.4691
20260610_133821,25,258,ordered,,234,Which radioactive substance sometimes occurs naturally in spring water?,Radon,"[""Thoron"", ""Niton (element)"", ""Radon (Rn)"", ""Radium emanation"", ""Element 86"", ""Radon"", ""Radon gas"", ""Household radon"", ""Emanation (chemistry)"", ""Radon poisoning"", ""Radon (element)"", ""Actinon""]",True,0.7207,6685.0,32607.0,181.17,130.5651
20260610_133821,26,259,ordered,,234,What is the approximate circumference of the earth?,"25,000 miles","[""24,900 miles""]",False,0.724,6685.0,32607.0,181.88,131.6747
20260610_133821,27,260,ordered,,234,"Which common mineral is used to make casts, moulds, blackboard chalk and plaster of Paris?",Gypsum,"[""CaSO4·2H2O"", ""Gypsum"", ""Calcium sulfate dihydrate"", ""CaSO4*2H2O"", ""Gipsum""]",True,0.7297,6687.0,32607.0,180.66,131.8349
20260610_133821,28,261,ordered,,234,What name was given to the invisible material once thought to occupy all space?,Vacuum,"[""Alkoxyalkane"", ""Ether group"", ""Primary ether"", ""Ethers, cyclic"", ""Ether bond"", ""Polyether"", ""Ether"", ""Sweet oil of vitriol"", ""Diaryl ether"", ""Aryl ether"", ""Secondary ether"", ""Organic ether"", ""O-alkylation"", ""Tertiary ether"", ""Polyethers"", ""Ethers"", ""Ether (chemistry)"", ""Oleum dulci vitrioli""]",False,0.731,6687.0,32607.0,180.71,132.097
20260610_133821,29,262,ordered,,234,From which areas of space can there be no escape?,The center of a black hole.,"[""History of black holes"", ""The formation of a black hole"", ""Black hole"", ""Parts of a black hole"", ""Gravitationally completely collapsed star"", ""Cosmic vacuum cleaners"", ""Black holes"", ""Black Hole"", ""Blackhole"", ""Black hole FAQ"", ""Black-hole"", ""Central black hole"", ""Black Holes"", ""Creation of a Black Hole"", ""Blackholes"", ""Frozen star"", ""Creation of a black hole"", ""Black-holes"", ""Black whole"", ""Hypermass"", ""Black hol"", ""Spatial singularity"", ""BLACK HOLES""]",True,0.7196,6685.0,32607.0,180.43,129.8397
20260610_133821,30,263,ordered,,234,Who was the first man to walk on the Moon?,Neil Armstrong,"[""That's one small step for a man one giant leap for mankind"", ""Neil Armstrong"", ""First man on moon"", ""One small step for man"", ""That's one small step for a man, one giant leap for mankind"", ""Niel Armstrong"", ""That's one small step for man, one giant leap for mankind"", ""Neal armstrong"", ""First man on the moon"", ""Astronaut Armstrong"", ""Neil armstrong"", ""Neil Alden Armstrong"", ""Neal Armstrong"", ""First man on the Moon"", ""That's one small step for a man"", ""Neil armstorng"", ""Armstrong, Neil Alden"", ""Neil A. Armstrong""]",True,0.7238,6689.0,32607.0,181.04,131.0396
20260610_133821,31,264,ordered,,234,Proteus and Nereid are moons of which planet?,Neptune,"[""8th planet"", ""Le Verrier's planet"", ""Neptuno (planet)"", ""Neptune the blue ocean planet"", ""Planet Neptune"", ""Sol 8"", ""Sol IIX"", ""Neptune (Planet)"", ""Neptune's weather"", ""Neptune (astronomy)"", ""Astronomy Neptune"", ""The Scooter (Neptune)"", ""Eighth planet"", ""Neptune (planet)"", ""♆"", ""Sol-8"", ""Neptune"", ""Sol VIII"", ""Sun i"", ""Atmosphere of Neptune"", ""Neptune's Atmosphere"", ""Weather of Neptune"", ""Neptune's"", ""Magnetosphere of Neptune"", ""Neptune planet"", ""Neptunus (planet)"", ""The planet exterior to Uranus"", ""Neptune's atmosphere""]",True,0.7304,6689.0,32607.0,180.83,132.0839
20260610_133821,32,265,ordered,,234,What is the Milky Way?,The Milky Way is a spiral galaxy that is home to our solar system.,"[""Age of the Milky Way"", ""Milky Way (band of light)"", ""Our galaxy"", ""Milky way"", ""🌌"", ""Speed of the Milky Way through Space"", ""Milkyway"", ""Milky way galaxy"", ""Via Lactea"", ""Galaxia Kuklos"", ""Lactea"", ""Milky way Galaxy"", ""The Milky Way"", ""The Spiral Arms of the Milky Way"", ""This galaxy"", ""Milky Way Galaxy"", ""Milky Way"", ""Local Galaxy"", ""Milky Way (astronomy)"", ""Milky Way galaxy"", ""The local galaxy"", ""Milky Way (galaxy)""]",True,0.7292,6689.0,32607.0,180.16,131.3687
20260610_133821,33,266,ordered,,234,Which force is nothing more than the bending of space and time?,Gravity,"[""Gravitational physics"", ""Gravitation"", ""Gravity"", ""Theory of Gravity"", ""Laws of gravity"", ""Gravitaiton"", ""Gravity and motion"", ""Physics/Gravity"", ""Apparent gravity"", ""Gravity (astronomy)"", ""Gravitate"", ""Gravitational pull"", ""Theory of gravitation"", ""Gravity (old version)"", ""Formulae of gravity"", ""Gravitating"", ""Gravitational interaction"", ""Gravitated"", ""Gravitation (astronomy)"", ""Gravitational"", ""Gravitates"", ""Theory of Gravitation"", ""Theories of gravitation"", ""Vertical Circular Motion"", ""Gravitationally"", ""Law of gravity"", ""Acceleration of gravity"", ""Gravitational motion"", ""Newtonian theory of gravitation"", ""Gravitational attraction"", ""Gravitational force"", ""Theory of gravity"", ""Force of gravity"", ""Laws of Gravity"", ""Fg (physics)"", ""Gravitational theory"", ""Law of Gravity""]",True,0.7182,6689.0,32607.0,180.93,129.944
20260610_133821,34,267,ordered,,234,"Which star is as bright as 23 Suns, and is orbited by the Pup?",Betelgeuse,"[""Gliese 244 A"", ""Gliese 244 B"", ""Σείριος"", ""Alhabor"", ""Aschere"", ""Sirius B"", ""Sirius A"", ""Sirius"", ""Swart star"", ""WD 0642–166"", ""HIP 32349"", ""Gliese 244"", ""Alpha Canis Majoris"", ""الشعرى"", ""HD 48915"", ""The Dog-Star"", ""Sirius.B"", ""Alpha CMa"", ""Alpha Canis Maioris"", ""'A"", ""Α Canis Majoris A"", ""Α Canis Majoris"", ""Α CMa"", ""Canicula"", ""SAO 151881"", ""Sirius (star)"", ""Dog stars"", ""WD 0642-166"", ""Sirius-B""]",False,0.723,6691.0,32607.0,182.98,132.2923
20260610_133821,35,268,ordered,,234,What are the three primary colours of light?,"Red, green and blue","[""Red, Blue and Green""]",False,0.7281,6689.0,32607.0,177.94,129.5582
20260610_133821,36,269,ordered,,234,In what film did Oprah Winfrey make her big screen acting debut?,The Color Purple,"[""The Colour Purple"", ""Colour Purple"", ""Color Purple"", ""The colour purple"", ""The Color Purple (novel)"", ""The Color Purple""]",True,0.7303,6689.0,32607.0,180.62,131.9007
20260610_133821,37,270,ordered,,234,What is the second lightest chemical element?,Hydrogen,"[""Solid Helium"", ""Superfluid helium"", ""Two fluid model for helium"", ""Helium II"", ""Balloon grade helium"", ""Helium gas"", ""He (element)"", ""Inhaling Helium"", ""E939"", ""Element 2"", ""Atomic number 2"", ""ATCvet code QV03AN03"", ""ATC code V03AN03"", ""Helium"", ""Helium shortage""]",False,0.7308,6689.0,32607.0,180.15,131.66
20260610_133821,38,271,ordered,,234,"Used in mathematics, what is the value of Pi to three decimal places?",3.14,"[""three point one four two  degrees"", ""3.142 degrees"", ""3.142""]",False,0.7262,6691.0,32607.0,180.3,130.9423
20260610_133821,39,272,ordered,,234,"What colour is the number 10 on the door of 10 Downing Street? White, Yellow or Brown?",Brown.,"[""White (Colour)"", ""Rgb(255, 255, 255)"", ""White"", ""Whitishness"", ""Whiter"", ""(255, 255, 255)"", ""Whitishly"", ""White (political adjective)"", ""White-"", ""White-Finn"", ""Whitest"", ""FFFFFF"", ""Color/white"", ""Man on a white horse""]",False,0.7247,6702.0,32607.0,182.11,131.9726
20260610_133821,40,273,ordered,,234,What was advertised with Eva Herzagovia using the slogan hello boys?,"Hello boys, I’m Eva Herzagovia.","[""Wonderbra."", ""Wonder-bra"", ""The Wonderbra"", ""WonderBra"", ""Wonderbra"", ""The Wonder-Bra"", ""Wonder Bra"", ""Wonderbra Women""]",False,0.733,6700.0,32607.0,181.27,132.8785
20260610_133821,41,274,ordered,,234,What number in Bingo is sometimes referred to as Heinz varieties?,15,"[""57"", ""fifty-seven""]",False,0.7289,6700.0,32607.0,181.47,132.2771
20260610_133821,42,275,ordered,,234,"As at March 2001, who holds the record for scoring the most league goals for the soccer team Arsenal?",Thierry Henry,"[""Mr Wright"", ""Ian Wright""]",False,0.725,6702.0,32607.0,181.0,131.2197
20260610_133821,43,276,ordered,,234,How many verses make up the national anthem God Save The Queen?,10,"[""3"", ""Three"", ""three""]",False,0.7273,6700.0,32607.0,182.07,132.4251
20260610_133821,44,277,ordered,,234,What colour is the cross on the national flag of Switzerland?,Red,"[""White (Colour)"", ""Rgb(255, 255, 255)"", ""White"", ""Whitishness"", ""Whiter"", ""(255, 255, 255)"", ""Whitishly"", ""White (political adjective)"", ""White-"", ""White-Finn"", ""Whitest"", ""FFFFFF"", ""Color/white"", ""Man on a white horse""]",False,0.7313,6700.0,32607.0,182.11,133.1812
20260610_133821,45,278,ordered,,234,Who was the American President when the Berlin Wall was constructed?,Harry Truman,"[""JFK"", ""J.F.K"", ""J.F.K. Administration"", ""Kennedy administration"", ""JFK (President)"", ""J.F. Kennedy"", ""J. F. Kennedy"", ""John f kennedy"", ""John fitzgerald kennady"", ""John Kennedy"", ""My God, I'm hit"", ""John F.Kennedy"", ""Kennedyesque"", ""JFK administration"", ""President John F. Kennedy"", ""Jack Kennedy"", ""John F Kennedy"", ""35th President of the United States"", ""JF Kennedy"", ""Kennedy Administration"", ""President John Kennedy"", ""John f kenedy"", ""John F. Kennedy"", ""J.F.K."", ""JFK (president)"", ""Jfk"", ""Jhon F Kennedy"", ""John F. Kennedy and civil rights"", ""John f. kennedy"", ""J F Kennedy"", ""J. F. K."", ""John Fitzgerald %22Jack%22 Kennedy"", ""Camelot era"", ""John f. kenedy"", ""John Fitzgerald Kennedy"", ""Kennedy, John F."", ""John f k"", ""Kennedy era"", ""President Kennedy"", ""Early years of john f. kennedy"", ""John F. %22Jack%22 Kennedy"", ""J F K"", ""Eponyms of John F. Kennedy"", ""U.S. President J.F. Kennedy"", ""President John F Kennedy"", ""John F. Kennedie"", ""Kennedyism"", ""Senator John F. Kennedy""]",False,0.7325,6700.0,32607.0,183.01,134.0567
20260610_133821,46,279,ordered,,234,What is the minimum number of darts a person needs to throw to complete a leg from 501?,10,"[""9"", ""nine""]",False,0.7276,6702.0,32607.0,182.58,132.8402
20260610_133821,47,280,ordered,,234,What was the first British football team to win the European Cup?,Liverpool,"[""Celtic"", ""Celtic (Disambiguation)"", ""Celtic (disambiguation)"", ""Celto-"", ""Celto"", ""Keltic""]",False,0.7279,6699.0,32607.0,181.87,132.377
20260610_133821,48,281,ordered,,234,What is the most popular natural attraction in Alaska?,The Aurora Borealis.,"[""Denali North Peak"", ""Mount McKinley"", ""Mount McKinley North Peak"", ""Mt McKinley (Denali)"", ""Churchill peaks"", ""Mount McKinley South Buttress"", ""Highest mountain in North America"", ""Большая Гора"", ""Mount Mckinley"", ""Mt. Denali"", ""Mount mckinley"", ""Mt McKinley"", ""Mount McKinely"", ""Mount McKinley East Buttress"", ""Mt. McKinley"", ""Mt. mckinley"", ""Mount Denali"", ""Denali East Buttress"", ""Mount McKinley (Alaska)"", ""Denali"", ""Denali South Buttress"", ""Mt mckinley""]",False,0.7292,6699.0,32607.0,181.56,132.3943
20260610_133821,49,282,ordered,,234,"What type of acid is extracted from the juice of lemons, oranges, limes, and grapefruit?",citric acid,"[""E330"", ""Sour salt"", ""Hydrogen citrate"", ""HOOCCH2(OH)C(COOH)CH2COOH"", ""Citric acid"", ""E 330"", ""Citric Acid"", ""3-hydroxypentanedioic acid-3-carboxylic acid"", ""2-hydroxy-1,2,3-propanetricarboxylic acid"", ""Citrus acid"", ""ATC code A09AB04"", ""ATCvet code QA09AB04"", ""Acid of lemon"", ""Citric (acid)""]",True,0.7333,6699.0,32607.0,180.22,132.1514
20260610_133821,50,283,ordered,,234,How many pieces are there in a standard set of dominoes?,28,"[""28"", ""twenty-eight""]",True,0.7226,6697.0,32607.0,180.7,130.5824
20260610_133821,51,284,ordered,,234,What is the acronym for the agency which provides co-operation between police forces worldwide?,Interpol,"[""INTERPOL"", ""International Criminal Police Organisation"", ""International Criminal Police Organization"", ""International Criminal Police Organization – INTERPOL"", ""Interpol (organization)"", ""International Police Conference"", ""International Police Commission"", ""President of Interpol"", ""International Criminal Police Organization – Interpol"", ""Interpol"", ""ICPO-Interpol"", ""International Criminal Police Organization - INTERPOL"", ""International Criminal Police Commission"", ""International Criminal Police Organization - Interpol""]",True,0.7261,6699.0,32607.0,182.26,132.3394
20260610_133821,52,285,ordered,,234,"What were Benjy and Laska, which were sent into space in 1958?",They were the first animals to be sent into space.,"[""🐁"", ""Mouse subgenus"", ""Reproductive behavior of mice"", ""Mouse (animal)"", ""MOUSE"", ""Mouse (rodent)"", ""🐭"", ""Mus (genus)"", ""Mice"", ""Mouse""]",False,0.7299,6699.0,32607.0,179.34,130.9026
20260610_133821,53,286,ordered,,234,In what year in the 20th century was the Miss World contest held for the first time?,1951,"[""one thousand, nine hundred and fifty-one"", ""1951""]",True,0.7313,6699.0,32607.0,181.89,133.0175
20260610_133821,54,287,ordered,,234,In which year was the Encyclopedia Britannica first published?,1768,"[""1768"", ""one thousand, seven hundred and sixty-eight""]",True,0.7252,6697.0,32607.0,178.08,129.1453
20260610_133821,55,288,ordered,,234,"On the London Underground, which is the only line to connect at some point with every other line on the system?",The Jubilee Line,"[""Jubilee line"", ""Fleet Line"", ""The Jubilee Line"", ""Jubilee Line"", ""Fleet line""]",True,0.7242,6699.0,32607.0,181.39,131.3632
20260610_133821,56,289,ordered,,234,Who wrote The Importance Of Being Earnest?,Oscar Wilde,"[""Oscar Wild"", ""Flahertie"", ""C. 3. 3. 3"", ""Oscar Wilde"", ""O'Flahertie"", ""C. 3. 3. 3."", ""O Wilde"", ""Oscar O'Flahertie Wills Wilde"", ""Oscar O'flaherty Wilde"", ""Oscar wilde"", ""Sebastian Melmoth"", ""Oscar Fingal O'Flaherty Wills Wilde"", ""Theocritus: a villanelle"", ""Oscar Wilde/Biblio"", ""Oscar Fingal O'Flahertie Wills Wilde"", ""Cyril Wilde""]",True,0.7273,6697.0,32607.0,181.66,132.1187
20260610_133821,57,290,ordered,,234,"Thomas Edison, who invented the lightbulb, was afraid of the dark?",False,"[""True (disambiguation)"", ""True"", ""True (album)"", ""TRUE (Album)"", ""True (song)"", ""TRUE"", ""True (Album)"", ""Truer""]",False,0.7291,6699.0,32607.0,180.94,131.9281
20260610_133821,58,291,ordered,,234,Taphephobia is the fear of losing your teeth?,True,"[""False (disambiguation)"", ""Falsehood"", ""False""]",False,0.7264,6697.0,32607.0,181.57,131.8867
20260610_133821,59,292,ordered,,234,The letter t is the second most common letter used in the English language?,True,"[""True (disambiguation)"", ""True"", ""True (album)"", ""TRUE (Album)"", ""True (song)"", ""TRUE"", ""True (Album)"", ""Truer""]",True,0.7223,6699.0,32607.0,181.5,131.093
20260610_133821,60,293,ordered,,234,"The invention of what in 1867, made Alfred Nobel famous?",Dynamite,"[""Dynamite"", ""Dynamited"", ""Dinamite""]",True,0.7296,6697.0,32607.0,181.92,132.7338
