session_id,question_number_in_session,question_index_in_dataset,mode,seed,start_index,question,model_answer,ground_truth_aliases,is_correct,elapsed_time_seconds,gpu_memory_used_mb,gpu_memory_total_mb,gpu_power_watts,energy_joules_estimate
20260610_183934,13,246,ordered,,234,"Which mammal constructs a lodge in which to store food, rear young, and pass the winter?",Beaver,"[""Beaverdams"", ""Beaver house"", ""Beavers"", ""Beaver pelt"", ""Beever"", ""Salt water beavers"", ""Beaverdam (habitat)"", ""Beaver"", ""Castor (zoology)"", ""Castor (genus)"", ""Beaver lodge"", ""Beaver houses""]",True,0.8708,5342.0,24576.0,217.48,189.3856
20260610_183934,14,247,ordered,,234,What is the generic word for plants that grow in water or water-logged conditions?,Hydrophytes,"[""Hydrophyte"", ""Submersed aquatic vegetation"", ""Submerged aquatic vegetation"", ""Aquatic plant"", ""Submerged Aquatic Vegetation"", ""Hydrophytes"", ""Aquatic plants"", ""Water plant"", ""Aquatic vegetation"", ""Aquatic weed"", ""Hydrophytic plant""]",True,0.8714,5342.0,24576.0,216.56,188.6996
20260610_183934,15,248,ordered,,234,"Which teeth are the third molars, and are always the last to0 erupt?",Wisdom teeth,"[""Wisdom-tooth"", ""Wisdom teeth"", ""Third maxillary molar"", ""Wisdom Teeth"", ""3rd molar"", ""Molar, third"", ""Impaction (dental)"", ""Third mandibular molar"", ""Wisdom Tooth"", ""Maxillary third molar"", ""Impacted molar"", ""Third molar"", ""Wisdom tooth"", ""Third molar tooth"", ""Mandibular third molar""]",True,0.866,5342.0,24576.0,217.49,188.3446
20260610_183934,16,249,ordered,,234,What is secreted by the pancreas to regulate blood sugar levels?,Insulin,"[""Insulin antagonists"", ""Human Mixtard"", ""Insulin recombinant purified human"", ""INS (gene)"", ""Insulin Human"", ""C65R"", ""Insulin recombinant human"", ""C257H383N65O77S6"", ""Insulin purified pork"", ""Actraphane"", ""Insulin zinc susp recombinant human"", ""Insuline"", ""Insulin zinc susp prompt beef"", ""Insullin"", ""Insulin zinc susp semisynthetic purified human"", ""Insulin aspart recombinant"", ""B10H"", ""Insulin purified beef"", ""Insulin gene"", ""Insulin zinc susp extended recombinant human"", ""Aktrapid"", ""Oral insulin"", ""Insulin zinc susp purified pork"", ""Human mixtard"", ""Insulin zinc susp extended beef"", ""Insulin zinc susp extended purified beef"", ""Insulin release"", ""Insulin zinc susp purified beef"", ""Actrapid"", ""Insulin glargine recombinant"", ""Insulin zinc susp prompt purified pork"", ""Insulin pork"", ""Iletin i (beef-pork)"", ""Iletin II"", ""Insulin zinc susp beef"", ""Mixtard"", ""Insulin, porcine"", ""Insulin""]",True,0.8841,5340.0,24576.0,216.47,191.3796
20260610_183934,17,250,ordered,,234,How many chambers has the heart?,4,"[""Four"", ""four"", ""4""]",True,0.8726,5340.0,24576.0,216.23,188.69
20260610_183934,18,251,ordered,,234,What is the name of the large buttock and thigh muscle?,Gluteus maximus,"[""Gluteus maximus muscles"", ""Glutei maximi"", ""Gluteus maximus"", ""Gluteaus maximus"", ""Glutaeus maximus muscle"", ""Musculus glutaeus maximus"", ""Glute"", ""Glutius maximus"", ""Gluteus Maximus"", ""Musculus gluteus maximus"", ""Glutes"", ""Glutis maximus"", ""Gluteus maximus muscle"", ""Glutæus maximus"", ""Glutaeus maximus"", ""Glutæus maximus muscle""]",True,0.8787,5342.0,24576.0,216.76,190.4641
20260610_183934,19,252,ordered,,234,"When the egg is released from the ovary, what is left behind?",The follicle,"[""Corpora lutea"", ""Lutein cyst"", ""Corpus luetum"", ""Corpus luteum"", ""Yellow body"", ""Corpus albicantia"", ""Corpora luteum"", ""Corpus luteum hormones"", ""Corpus leteum"", ""Granulosa lutein cell"", ""Corpus lutea"", ""Corpora albicantia"", ""Theca lutein cell"", ""Luteal cells"", ""Corpus luteum graviditatis"", ""Luteal cell"", ""Luteal"", ""Corpus Luteum"", ""Corpus luteum cell"", ""Yellow bodies""]",False,0.8626,5342.0,24576.0,217.67,187.7559
20260610_183934,20,253,ordered,,234,What is the scientific name for the heart's pacemaker?,Sinoatrial node,"[""Sinoatrial"", ""Sa node"", ""The sinoatrial node"", ""Sinuatrial mode"", ""SA Node"", ""Sinoastrial node"", ""Sinu-atrial node"", ""Sinus Node"", ""SA node"", ""Sinoatrial Node"", ""Nodus sinuatrialis"", ""Sinoatrial cell"", ""Sinuatrial node"", ""Sinus node"", ""Atrial sinus"", ""Sino-atrial node"", ""Sino atrial node"", ""Sinoatrial node""]",True,0.8707,5340.0,24576.0,217.95,189.7722
20260610_183934,21,254,ordered,,234,Which hormone helps control ovulation?,FSH,"[""Receptors, lh"", ""LH surge"", ""Leutenizing hormone"", ""Ovulation prediction kit"", ""Luteinizing"", ""Pee stick"", ""Interstitial-cell stimulating hormone"", ""Lh kit"", ""ATCvet code QG03GA07"", ""Lutropin alfa"", ""Lutropin"", ""Lutenizing Hormone"", ""Luteinizing hormone"", ""Lh test"", ""Luteinising hormone"", ""Luveris"", ""Leutinizing hormone"", ""Interstitial cell stimulating hormone"", ""Lutenising Hormone"", ""Lutenizing hormone"", ""Ovulation predictor kit"", ""ATC code G03GA07"", ""Luteinizing Hormone"", ""Luteinising Hormone"", ""Interstitial Cell Stimulating Hormone""]",False,0.8654,5340.0,24576.0,218.26,188.877
20260610_183934,22,255,ordered,,234,What is the second most common gas in the atmosphere?,Nitrogen,"[""Oxyjunn"", ""Oxygen rings"", ""Active oxygen"", ""Vital air"", ""ATC code V03AN01"", ""ATCvet code QV03AN01"", ""History of oxygen"", ""Atomic number 8"", ""Oxygyn"", ""Oxygen gas"", ""O₂"", ""Dioxygen molecule"", ""Diatomic oxide"", ""Diatomic Oxygen"", ""Oxygen ion"", ""Sauerstoff"", ""Oxygen"", ""Oxygen partial pressure"", ""Pure oxygen"", ""Oxygen atom"", ""Molecular oxygen"", ""Oxygen Atom"", ""Element 8"", ""O (element)"", ""0xygen"", ""Oxigen"", ""E948""]",False,0.8765,5340.0,24576.0,217.93,191.0221
20260610_183934,23,256,ordered,,234,What is the term for nutrient enrichment of lakes?,Eutrophication,"[""Eutrophication"", ""Hypertrophication"", ""Cultural eutrophication"", ""Nutrient loading"", ""Eutrofication"", ""Euthrophication""]",True,0.9119,5340.0,24576.0,216.42,197.3519
20260610_183934,24,257,ordered,,234,Five-legged creatures have damaged which 1250 mile long wonder of the world?,The Great Wall of China,"[""Great Barrier Reef"", ""Great Barrier Reef World Heritage Area"", ""The Great Barrier Reef"", ""Douglas Shoal"", ""Great barrier reef"", ""Great Detached Reef"", ""Great barrier reef history""]",False,0.8754,5342.0,24576.0,217.59,190.4826
20260610_183934,25,258,ordered,,234,Which radioactive substance sometimes occurs naturally in spring water?,Radon,"[""Thoron"", ""Niton (element)"", ""Radon (Rn)"", ""Radium emanation"", ""Element 86"", ""Radon"", ""Radon gas"", ""Household radon"", ""Emanation (chemistry)"", ""Radon poisoning"", ""Radon (element)"", ""Actinon""]",True,0.8758,5340.0,24576.0,218.82,191.6398
20260610_183934,26,259,ordered,,234,What is the approximate circumference of the earth?,"25,000 miles","[""24,900 miles""]",False,0.9186,5340.0,24576.0,215.77,198.2102
20260610_183934,27,260,ordered,,234,"Which common mineral is used to make casts, moulds, blackboard chalk and plaster of Paris?",Gypsum,"[""CaSO4·2H2O"", ""Gypsum"", ""Calcium sulfate dihydrate"", ""CaSO4*2H2O"", ""Gipsum""]",True,0.8818,5342.0,24576.0,218.2,192.3981
20260610_183934,28,261,ordered,,234,What name was given to the invisible material once thought to occupy all space?,Vacuum,"[""Alkoxyalkane"", ""Ether group"", ""Primary ether"", ""Ethers, cyclic"", ""Ether bond"", ""Polyether"", ""Ether"", ""Sweet oil of vitriol"", ""Diaryl ether"", ""Aryl ether"", ""Secondary ether"", ""Organic ether"", ""O-alkylation"", ""Tertiary ether"", ""Polyethers"", ""Ethers"", ""Ether (chemistry)"", ""Oleum dulci vitrioli""]",False,0.8722,5340.0,24576.0,219.7,191.6333
20260610_183934,29,262,ordered,,234,From which areas of space can there be no escape?,The center of a black hole.,"[""History of black holes"", ""The formation of a black hole"", ""Black hole"", ""Parts of a black hole"", ""Gravitationally completely collapsed star"", ""Cosmic vacuum cleaners"", ""Black holes"", ""Black Hole"", ""Blackhole"", ""Black hole FAQ"", ""Black-hole"", ""Central black hole"", ""Black Holes"", ""Creation of a Black Hole"", ""Blackholes"", ""Frozen star"", ""Creation of a black hole"", ""Black-holes"", ""Black whole"", ""Hypermass"", ""Black hol"", ""Spatial singularity"", ""BLACK HOLES""]",True,0.8915,5340.0,24576.0,218.11,194.4539
20260610_183934,30,263,ordered,,234,Who was the first man to walk on the Moon?,Neil Armstrong,"[""That's one small step for a man one giant leap for mankind"", ""Neil Armstrong"", ""First man on moon"", ""One small step for man"", ""That's one small step for a man, one giant leap for mankind"", ""Niel Armstrong"", ""That's one small step for man, one giant leap for mankind"", ""Neal armstrong"", ""First man on the moon"", ""Astronaut Armstrong"", ""Neil armstrong"", ""Neil Alden Armstrong"", ""Neal Armstrong"", ""First man on the Moon"", ""That's one small step for a man"", ""Neil armstorng"", ""Armstrong, Neil Alden"", ""Neil A. Armstrong""]",True,0.9005,5340.0,24576.0,217.91,196.2221
20260610_183934,31,264,ordered,,234,Proteus and Nereid are moons of which planet?,Neptune,"[""8th planet"", ""Le Verrier's planet"", ""Neptuno (planet)"", ""Neptune the blue ocean planet"", ""Planet Neptune"", ""Sol 8"", ""Sol IIX"", ""Neptune (Planet)"", ""Neptune's weather"", ""Neptune (astronomy)"", ""Astronomy Neptune"", ""The Scooter (Neptune)"", ""Eighth planet"", ""Neptune (planet)"", ""♆"", ""Sol-8"", ""Neptune"", ""Sol VIII"", ""Sun i"", ""Atmosphere of Neptune"", ""Neptune's Atmosphere"", ""Weather of Neptune"", ""Neptune's"", ""Magnetosphere of Neptune"", ""Neptune planet"", ""Neptunus (planet)"", ""The planet exterior to Uranus"", ""Neptune's atmosphere""]",True,0.9543,5340.0,24576.0,215.14,205.3052
20260610_183934,32,265,ordered,,234,What is the Milky Way?,The Milky Way is a spiral galaxy that is home to our solar system.,"[""Age of the Milky Way"", ""Milky Way (band of light)"", ""Our galaxy"", ""Milky way"", ""🌌"", ""Speed of the Milky Way through Space"", ""Milkyway"", ""Milky way galaxy"", ""Via Lactea"", ""Galaxia Kuklos"", ""Lactea"", ""Milky way Galaxy"", ""The Milky Way"", ""The Spiral Arms of the Milky Way"", ""This galaxy"", ""Milky Way Galaxy"", ""Milky Way"", ""Local Galaxy"", ""Milky Way (astronomy)"", ""Milky Way galaxy"", ""The local galaxy"", ""Milky Way (galaxy)""]",True,0.8823,5340.0,24576.0,217.6,191.9867
20260610_183934,33,266,ordered,,234,Which force is nothing more than the bending of space and time?,Gravity,"[""Gravitational physics"", ""Gravitation"", ""Gravity"", ""Theory of Gravity"", ""Laws of gravity"", ""Gravitaiton"", ""Gravity and motion"", ""Physics/Gravity"", ""Apparent gravity"", ""Gravity (astronomy)"", ""Gravitate"", ""Gravitational pull"", ""Theory of gravitation"", ""Gravity (old version)"", ""Formulae of gravity"", ""Gravitating"", ""Gravitational interaction"", ""Gravitated"", ""Gravitation (astronomy)"", ""Gravitational"", ""Gravitates"", ""Theory of Gravitation"", ""Theories of gravitation"", ""Vertical Circular Motion"", ""Gravitationally"", ""Law of gravity"", ""Acceleration of gravity"", ""Gravitational motion"", ""Newtonian theory of gravitation"", ""Gravitational attraction"", ""Gravitational force"", ""Theory of gravity"", ""Force of gravity"", ""Laws of Gravity"", ""Fg (physics)"", ""Gravitational theory"", ""Law of Gravity""]",True,0.9528,5342.0,24576.0,214.87,204.7274
20260610_183934,34,267,ordered,,234,"Which star is as bright as 23 Suns, and is orbited by the Pup?",Betelgeuse,"[""Gliese 244 A"", ""Gliese 244 B"", ""Σείριος"", ""Alhabor"", ""Aschere"", ""Sirius B"", ""Sirius A"", ""Sirius"", ""Swart star"", ""WD 0642–166"", ""HIP 32349"", ""Gliese 244"", ""Alpha Canis Majoris"", ""الشعرى"", ""HD 48915"", ""The Dog-Star"", ""Sirius.B"", ""Alpha CMa"", ""Alpha Canis Maioris"", ""'A"", ""Α Canis Majoris A"", ""Α Canis Majoris"", ""Α CMa"", ""Canicula"", ""SAO 151881"", ""Sirius (star)"", ""Dog stars"", ""WD 0642-166"", ""Sirius-B""]",False,0.929,5369.0,24576.0,195.24,181.3704
20260610_183934,35,268,ordered,,234,What are the three primary colours of light?,"Red, green and blue","[""Red, Blue and Green""]",False,0.8949,5340.0,24576.0,213.83,191.3671
20260610_183934,36,269,ordered,,234,In what film did Oprah Winfrey make her big screen acting debut?,The Color Purple,"[""The Colour Purple"", ""Colour Purple"", ""Color Purple"", ""The colour purple"", ""The Color Purple (novel)"", ""The Color Purple""]",True,0.904,5342.0,24576.0,204.9,185.2197
20260610_183934,37,270,ordered,,234,What is the second lightest chemical element?,Hydrogen,"[""Solid Helium"", ""Superfluid helium"", ""Two fluid model for helium"", ""Helium II"", ""Balloon grade helium"", ""Helium gas"", ""He (element)"", ""Inhaling Helium"", ""E939"", ""Element 2"", ""Atomic number 2"", ""ATCvet code QV03AN03"", ""ATC code V03AN03"", ""Helium"", ""Helium shortage""]",False,0.9076,5340.0,24576.0,218.38,198.2111
20260610_183934,38,271,ordered,,234,"Used in mathematics, what is the value of Pi to three decimal places?",3.14,"[""three point one four two  degrees"", ""3.142 degrees"", ""3.142""]",False,0.8998,5340.0,24576.0,216.95,195.2166
20260610_183934,39,272,ordered,,234,"What colour is the number 10 on the door of 10 Downing Street? White, Yellow or Brown?",Brown.,"[""White (Colour)"", ""Rgb(255, 255, 255)"", ""White"", ""Whitishness"", ""Whiter"", ""(255, 255, 255)"", ""Whitishly"", ""White (political adjective)"", ""White-"", ""White-Finn"", ""Whitest"", ""FFFFFF"", ""Color/white"", ""Man on a white horse""]",False,0.9233,5342.0,24576.0,218.06,201.3446
20260610_183934,40,273,ordered,,234,What was advertised with Eva Herzagovia using the slogan hello boys?,"Hello boys, I’m Eva Herzagovia.","[""Wonderbra."", ""Wonder-bra"", ""The Wonderbra"", ""WonderBra"", ""Wonderbra"", ""The Wonder-Bra"", ""Wonder Bra"", ""Wonderbra Women""]",False,0.8808,5342.0,24576.0,219.44,193.2928
20260610_183934,41,274,ordered,,234,What number in Bingo is sometimes referred to as Heinz varieties?,15,"[""57"", ""fifty-seven""]",False,0.8906,5340.0,24576.0,220.7,196.5509
20260610_183934,42,275,ordered,,234,"As at March 2001, who holds the record for scoring the most league goals for the soccer team Arsenal?",Thierry Henry,"[""Mr Wright"", ""Ian Wright""]",False,0.8622,5342.0,24576.0,223.27,192.4928
20260610_183934,43,276,ordered,,234,How many verses make up the national anthem God Save The Queen?,10,"[""3"", ""Three"", ""three""]",False,0.8813,5342.0,24576.0,221.0,194.7605
20260610_183934,44,277,ordered,,234,What colour is the cross on the national flag of Switzerland?,Red,"[""White (Colour)"", ""Rgb(255, 255, 255)"", ""White"", ""Whitishness"", ""Whiter"", ""(255, 255, 255)"", ""Whitishly"", ""White (political adjective)"", ""White-"", ""White-Finn"", ""Whitest"", ""FFFFFF"", ""Color/white"", ""Man on a white horse""]",False,0.8654,5340.0,24576.0,221.98,192.109
20260610_183934,45,278,ordered,,234,Who was the American President when the Berlin Wall was constructed?,Harry Truman,"[""JFK"", ""J.F.K"", ""J.F.K. Administration"", ""Kennedy administration"", ""JFK (President)"", ""J.F. Kennedy"", ""J. F. Kennedy"", ""John f kennedy"", ""John fitzgerald kennady"", ""John Kennedy"", ""My God, I'm hit"", ""John F.Kennedy"", ""Kennedyesque"", ""JFK administration"", ""President John F. Kennedy"", ""Jack Kennedy"", ""John F Kennedy"", ""35th President of the United States"", ""JF Kennedy"", ""Kennedy Administration"", ""President John Kennedy"", ""John f kenedy"", ""John F. Kennedy"", ""J.F.K."", ""JFK (president)"", ""Jfk"", ""Jhon F Kennedy"", ""John F. Kennedy and civil rights"", ""John f. kennedy"", ""J F Kennedy"", ""J. F. K."", ""John Fitzgerald %22Jack%22 Kennedy"", ""Camelot era"", ""John f. kenedy"", ""John Fitzgerald Kennedy"", ""Kennedy, John F."", ""John f k"", ""Kennedy era"", ""President Kennedy"", ""Early years of john f. kennedy"", ""John F. %22Jack%22 Kennedy"", ""J F K"", ""Eponyms of John F. Kennedy"", ""U.S. President J.F. Kennedy"", ""President John F Kennedy"", ""John F. Kennedie"", ""Kennedyism"", ""Senator John F. Kennedy""]",False,0.8682,5340.0,24576.0,222.6,193.2505
20260610_183934,46,279,ordered,,234,What is the minimum number of darts a person needs to throw to complete a leg from 501?,10,"[""9"", ""nine""]",False,0.8783,5342.0,24576.0,222.59,195.4953
20260610_183934,47,280,ordered,,234,What was the first British football team to win the European Cup?,Liverpool,"[""Celtic"", ""Celtic (Disambiguation)"", ""Celtic (disambiguation)"", ""Celto-"", ""Celto"", ""Keltic""]",False,0.8695,5342.0,24576.0,222.65,193.5992
20260610_183934,48,281,ordered,,234,What is the most popular natural attraction in Alaska?,The Aurora Borealis.,"[""Denali North Peak"", ""Mount McKinley"", ""Mount McKinley North Peak"", ""Mt McKinley (Denali)"", ""Churchill peaks"", ""Mount McKinley South Buttress"", ""Highest mountain in North America"", ""Большая Гора"", ""Mount Mckinley"", ""Mt. Denali"", ""Mount mckinley"", ""Mt McKinley"", ""Mount McKinely"", ""Mount McKinley East Buttress"", ""Mt. McKinley"", ""Mt. mckinley"", ""Mount Denali"", ""Denali East Buttress"", ""Mount McKinley (Alaska)"", ""Denali"", ""Denali South Buttress"", ""Mt mckinley""]",False,0.8938,5340.0,24576.0,221.79,198.2273
20260610_183934,49,282,ordered,,234,"What type of acid is extracted from the juice of lemons, oranges, limes, and grapefruit?",citric acid,"[""E330"", ""Sour salt"", ""Hydrogen citrate"", ""HOOCCH2(OH)C(COOH)CH2COOH"", ""Citric acid"", ""E 330"", ""Citric Acid"", ""3-hydroxypentanedioic acid-3-carboxylic acid"", ""2-hydroxy-1,2,3-propanetricarboxylic acid"", ""Citrus acid"", ""ATC code A09AB04"", ""ATCvet code QA09AB04"", ""Acid of lemon"", ""Citric (acid)""]",True,0.8702,5342.0,24576.0,223.37,194.3676
20260610_183934,50,283,ordered,,234,How many pieces are there in a standard set of dominoes?,28,"[""28"", ""twenty-eight""]",True,0.8821,5342.0,24576.0,223.45,197.1161
20260610_183934,51,284,ordered,,234,What is the acronym for the agency which provides co-operation between police forces worldwide?,Interpol,"[""INTERPOL"", ""International Criminal Police Organisation"", ""International Criminal Police Organization"", ""International Criminal Police Organization – INTERPOL"", ""Interpol (organization)"", ""International Police Conference"", ""International Police Commission"", ""President of Interpol"", ""International Criminal Police Organization – Interpol"", ""Interpol"", ""ICPO-Interpol"", ""International Criminal Police Organization - INTERPOL"", ""International Criminal Police Commission"", ""International Criminal Police Organization - Interpol""]",True,0.8707,5342.0,24576.0,222.45,193.6945
20260610_183934,52,285,ordered,,234,"What were Benjy and Laska, which were sent into space in 1958?",They were the first animals to be sent into space.,"[""🐁"", ""Mouse subgenus"", ""Reproductive behavior of mice"", ""Mouse (animal)"", ""MOUSE"", ""Mouse (rodent)"", ""🐭"", ""Mus (genus)"", ""Mice"", ""Mouse""]",False,0.8673,5342.0,24576.0,224.09,194.3615
20260610_183934,53,286,ordered,,234,In what year in the 20th century was the Miss World contest held for the first time?,1951,"[""one thousand, nine hundred and fifty-one"", ""1951""]",True,0.8689,5342.0,24576.0,224.88,195.3967
20260610_183934,54,287,ordered,,234,In which year was the Encyclopedia Britannica first published?,1768,"[""1768"", ""one thousand, seven hundred and sixty-eight""]",True,0.8709,5340.0,24576.0,224.27,195.3084
20260610_183934,55,288,ordered,,234,"On the London Underground, which is the only line to connect at some point with every other line on the system?",The Jubilee Line,"[""Jubilee line"", ""Fleet Line"", ""The Jubilee Line"", ""Jubilee Line"", ""Fleet line""]",True,0.8703,5342.0,24576.0,224.4,195.3028
20260610_183934,56,289,ordered,,234,Who wrote The Importance Of Being Earnest?,Oscar Wilde,"[""Oscar Wild"", ""Flahertie"", ""C. 3. 3. 3"", ""Oscar Wilde"", ""O'Flahertie"", ""C. 3. 3. 3."", ""O Wilde"", ""Oscar O'Flahertie Wills Wilde"", ""Oscar O'flaherty Wilde"", ""Oscar wilde"", ""Sebastian Melmoth"", ""Oscar Fingal O'Flaherty Wills Wilde"", ""Theocritus: a villanelle"", ""Oscar Wilde/Biblio"", ""Oscar Fingal O'Flahertie Wills Wilde"", ""Cyril Wilde""]",True,0.8635,5340.0,24576.0,223.47,192.9616
20260610_183934,57,290,ordered,,234,"Thomas Edison, who invented the lightbulb, was afraid of the dark?",False,"[""True (disambiguation)"", ""True"", ""True (album)"", ""TRUE (Album)"", ""True (song)"", ""TRUE"", ""True (Album)"", ""Truer""]",False,0.8656,5340.0,24576.0,223.9,193.8
20260610_183934,58,291,ordered,,234,Taphephobia is the fear of losing your teeth?,True,"[""False (disambiguation)"", ""Falsehood"", ""False""]",False,0.8718,5340.0,24576.0,222.88,194.3164
20260610_183934,59,292,ordered,,234,The letter t is the second most common letter used in the English language?,True,"[""True (disambiguation)"", ""True"", ""True (album)"", ""TRUE (Album)"", ""True (song)"", ""TRUE"", ""True (Album)"", ""Truer""]",True,0.8883,5340.0,24576.0,221.79,197.0133
20260610_183934,60,293,ordered,,234,"The invention of what in 1867, made Alfred Nobel famous?",Dynamite,"[""Dynamite"", ""Dynamited"", ""Dinamite""]",True,0.8774,5342.0,24576.0,221.6,194.4318
